gender,area,income,loan,credit_history,original_proba,income_needed,income_multiplier,income_flip_proba,loan_needed,loan_flip_proba,coapplicant_needed,coapplicant_flip_proba,credit_flip,credit_flip_proba,easiest_intervention
Male,Rural,6277,118.0,0.0,0.0002045868961192,,,,,,,,False,0.48047257341770855,Multiple changes needed
Male,Rural,9963,180.0,1.0,0.1334071672257591,,,,,,4081.6326530612246,0.5179709697268347,,,Add co-applicant
Male,Urban,8566,210.0,1.0,0.161695427516033,13460.857142857143,1.5714285714285714,0.7052797002468849,,,2040.8163265306123,0.5647037892015354,,,Add co-applicant
Male,Urban,3166,104.0,0.0,0.0051701039845201,,,,,,,,True,0.999885467490282,Build credit history
Male,Semiurban,3074,123.0,0.0,0.0062755106295473,,,,,,,,True,0.9997195306084454,Build credit history
Female,Rural,645,113.0,1.0,0.3386912890694343,1803.3673469387754,2.7959183673469385,0.5218147858205667,60.44897959183674,0.6535807582144784,3061.2244897959185,0.6524858136591933,,,Reduce loan amount
Female,Semiurban,1500,103.0,0.0,0.0614102995882584,,,,,,,,True,0.9855377561942841,Build credit history
Female,Urban,11500,286.0,0.0,0.0140965964066232,,,,,,,,True,0.9741800539928078,Build credit history
Male,Rural,3975,55.0,1.0,0.4330978457683169,,,,47.6530612244898,0.5172832297511124,0.0,0.6275647633268256,,,Reduce loan amount
Male,Urban,1836,90.0,1.0,0.1026960865493498,2285.6326530612246,1.2448979591836735,0.638922922454814,,,1020.4081632653061,0.8824913285995091,,,Add co-applicant
Male,Semiurban,2987,88.0,0.0,0.004743836060833,,,,,,,,True,0.9558664293684003,Build credit history
Male,Rural,4917,130.0,0.0,0.0003321849828026,,,,,,,,True,0.7683747670979515,Build credit history
Female,Rural,3418,135.0,1.0,0.1877890586161345,3697.0204081632655,1.0816326530612246,0.5737877061450182,122.24489795918367,0.9029235433233409,1020.4081632653061,0.9969613718116168,,,Reduce loan amount
Male,Rural,150,135.0,1.0,0.0576504090130103,,,,58.46938775510205,0.5744429356929973,4081.6326530612246,0.9644241536958257,,,Reduce loan amount
Male,Urban,3800,216.0,0.0,0.0087770994804347,,,,,,,,True,0.7322093591917989,Build credit history
Male,Rural,3523,152.0,0.0,0.0017687129816302,,,,,,,,True,0.7258675522261123,Build credit history
Female,Semiurban,2138,99.0,0.0,0.0073230201779733,,,,,,,,False,0.12574169628076046,Multiple changes needed
Female,Urban,1830,128.0,0.0,0.0004386743868671,,,,,,,,False,0.01914875944569868,Multiple changes needed
Male,Rural,4885,48.0,1.0,0.0600269135304787,5682.551020408163,1.163265306122449,0.5393069253428348,,,8163.265306122449,0.5808628956745783,,,Increase income
Male,Semiurban,2726,106.0,0.0,0.0066656563331304,,,,,,,,True,0.947429164287158,Build credit history
Male,Semiurban,4691,100.0,1.0,0.4528759457617944,5073.938775510204,1.0816326530612246,0.7802506950311646,98.16326530612245,0.6037322780740184,1020.4081632653061,0.8158273446678145,,,Reduce loan amount
Male,Urban,9323,75.0,1.0,0.4466307932498242,10845.122448979591,1.163265306122449,0.6894310826795526,68.36734693877551,0.5295444587962974,1020.4081632653061,0.5353154955770901,,,Reduce loan amount
Female,Urban,5417,143.0,0.0,0.0004791969891074,,,,,,,,True,0.9683152447197891,Build credit history
Male,Semiurban,3089,121.0,0.0,0.0069230816417419,,,,,,,,True,0.9995773980437807,Build credit history
Female,Rural,4606,81.0,1.0,0.0064477226513907,,,,,,,,,,Multiple changes needed
Male,Rural,8333,187.0,1.0,0.4337678242926592,,,,172.55102040816325,0.5607924287568482,6122.448979591837,0.5979484831260634,,,Reduce loan amount
Female,Urban,2500,93.0,1.0,0.4923107114504099,2704.0816326530617,1.0816326530612246,0.9503545210104669,89.61224489795919,0.9396138460864435,1020.4081632653061,0.9903192579274896,,,Reduce loan amount
Male,Urban,2333,102.0,0.0,0.0020987618607845,,,,,,,,True,0.9627580474568979,Build credit history
Female,Semiurban,4583,133.0,0.0,0.0060732705770728,,,,,,,,True,0.9659482857112708,Build credit history
Male,Rural,5667,180.0,1.0,0.081828586448653,7054.836734693878,1.2448979591836735,0.569352962586368,148.77551020408163,0.5302363958146487,0.0,0.9851498348887474,,,Reduce loan amount
